,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,,,,,,,,,,,,,,,
A,Sample,,,,,,,,,,,,,,,23.0123068,22.90133583,23.22540533,21.4678569,23.19305756,26.55091611,26.64564011,26.85653752,,,,,,,,
A,Cq,23.0123068,22.90133583,23.22540533,21.4678569,23.19305756,26.55091611,26.64564011,26.85653752,NaN,NaN,NaN,NaN,,,23.45577489,23.12316927,23.45201343,21.63757212,23.56729613,26.86118884,26.90353259,27.1209148,,,,,,,,
A,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,23.0039842,22.90644478,23.2551658,21.44228581,23.40341884,26.41575961,26.45153113,26.90210853,,,,,,,,
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,23.1573553,22.97698329,23.31086152,21.51590494,23.38792418,26.60928819,26.66690128,26.95985362,,22.97698329,23.31086152,21.51590494,23.38792418,26.60928819,26.66690128,26.95985362
B,Sample,,,,,,,,,,,,,,,0,-0.180372002,0.153506225,-1.641450354,0.230568882,3.451932891,3.50954598,3.802498325,,0,0.333878227,-1.461078352,0.410940884,3.632304893,3.689917982,3.982870327
B,Cq,23.45577489,23.12316927,23.45201343,21.63757212,23.56729613,26.86118884,26.90353259,27.1209148,NaN,NaN,NaN,NaN,,,1,1.133176039,0.899062786,3.119793099,0.852298748,0.091382841,0.087805433,0.071669429,,1,0.793400809,2.753140721,0.752132694,0.080643111,0.077486136,0.06324651
B,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,1,1.133176039,0.899062786,3.119793099,0.852298748,0.091382841,0.087805433,0.071669429,,1,0.793400809,2.753140721,0.752132694,0.080643111,0.077486136,0.06324651
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,,,,,,,,,,,,,,,
C,Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Cq,23.0039842,22.90644478,23.2551658,21.44228581,23.40341884,26.41575961,26.45153113,26.90210853,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,
C,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,,,,,,,,,,,,,,,
D,Sample,,,,,,,,,,,,,,,26.19164123,26.48027913,29.17506749,27.04085204,30.99392813,32.26965204,31.72659072,33.21545517,,,,,,,,
D,Cq,26.19164123,26.48027913,29.17506749,27.04085204,30.99392813,32.26965204,31.72659072,33.21545517,NaN,NaN,NaN,NaN,,,25.96456929,26.14834904,29.12958646,26.77830936,30.79677875,31.8269225,31.78561026,32.93404524,,,,,,,,
D,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,26.07459112,26.90374781,28.94631209,26.93949801,31.07677285,32.57473685,31.73018428,33.15126348,,,,,,,,
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,26.07693388,26.51079199,29.08365535,26.91955314,30.95582657,32.22377046,31.74746175,33.10025463,,,,,,,,
E,Sample,,,,,,,,,,,,,,,0,0.433858114,3.006721469,0.842619255,4.878892693,6.146836583,5.670527874,7.02332075,,,,,,,,
E,Cq,25.96456929,26.14834904,29.12958646,26.77830936,30.79677875,31.8269225,31.78561026,32.93404524,NaN,NaN,NaN,NaN,,,1,0.74027945,0.124418984,0.557630255,0.03398654,0.01411295,0.019633649,0.007687228,,,,,,,,
E,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,1,0.74027945,0.124418984,0.557630255,0.03398654,0.01411295,0.019633649,0.007687228,,,,,,,,
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,,,,,,,,,,,,,,,
F,Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Cq,26.07459112,26.90374781,28.94631209,26.93949801,31.07677285,32.57473685,31.73018428,33.15126348,NaN,NaN,NaN,NaN,,,FABP4,CEBPA,,,,,,,,,,,,,,
F,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,1,1,,,,,,,,,,,,,,
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,1,1.133176039,0.74027945,,,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,,,3,0.899062786,0.124418984,,,,,,,,,,,,,,
G,Cq,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,12,0.852298748,0.03398654,,,,,,,,,,,,,,
G,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,24,0.091382841,0.01411295,,,,,,,,,,,,,,
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,48,0.087805433,0.019633649,,,,,,,,,,,,,,
H,Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,Cq,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,0.071669429,0.007687228,,,,,,,,,,,,,,
H,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,
